"Nobel";"Country";"Year";"UniversityScore";"Popularity";"Productivity"
"no";"germany";1877;25.3;0;17.825311942959
"no";"croatia";1874;0;21.8179736912011;8.73440285204991
"no";"united states";1943;79.4;29.5533044585587;0.254901960784314
"no";"switzerland";1965;16.3;31.6116911087867;11.7437722419929
"no";"united states";1944;100;0;13.3689839572193
"no";"el salvador";1954;0;19.0617326477204;1.96078431372549
"no";"united states";1911;16.3;0;4.63458110516934
"no";"united states";1945;24.9;0;5.16934046345811
"no";"united states";1920;65.9;6.58939553827474;25.668449197861
"no";"england national football team";1964;0;4.15744570314854;44.0285204991087
"no";"united states";1940;0;0;30.1247771836007
"no";"japan";1962;37.2;19.0617326477204;33.5115864527629
"no";"bulgaria";1934;0;0;0
"no";"germany";1879;0;0;32.4420677361854
"no";"united states";1885;33.8;0;51.8716577540107
"no";"united states";1966;31.85;16.6297828125942;47.2370766488414
"no";"switzerland";1937;0;9.65328998110935;0.71301247771836
"no";"azerbaijan";1921;65.9;0;0.53475935828877
"no";"northern ireland";1956;54.9;15.3843772059459;56.3279857397504
"no";"united states";1941;80.7;34.908428468561;90.5525846702317
"no";"united states";1964;54.9;19.3065799622187;93.048128342246
"no";"united states";1910;0;17.336236779698;14.2602495543672
"no";"united states";1879;33.6;10.7468412414233;3.38680926916221
"yes";"usa";1909;0;20.5968021631723;2.13903743315508
"no";"united kingdom";1856;0;0;29.7682709447415
"no";"united states";1913;0;6.58939553827474;0.294117647058824
"yes";"germany";1895;0;25.6511281859951;22.2816399286988
"no";"russia";1977;93.4;20.4001312225326;18.1818181818182
"no";"northern ireland";1928;9.4;33.5343278460816;13.1907308377897
"no";"guyana";1957;79.4;6.58939553827474;24.777183600713
"yes";"germany";1912;100;0;83.9059674502712
"no";"netherlands";1962;0;0;0
"no";"india";1953;0;31.8682178720917;27.4509803921569
"no";"belarus";1899;13.3;24.5575769256812;34.4028520499109
"no";"poland";1892;0;40.9320903076904;20.4991087344029
"no";"united states";1937;65.9;0;0.17825311942959
"yes";"usa";1916;0;0;0.35650623885918
"no";"england";1939;0;0;3.74331550802139
"no";"germany";1924;96.6;14.3823991182398;26.5597147950089
"no";"scotland";1875;24.9;0;2.49554367201426
"no";"brazil";1952;0;0;6.59536541889483
"no";"japan";1933;74.9;0;49.1978609625668
"no";"united kingdom";1969;0;15.3843772059459;9.44741532976827
"no";"turkey";1958;80.7;30.1721959026851;93.4046345811052
"no";"india";1979;0;18.260821196196;40.1069518716578
"no";"united states";1938;0;4.15744570314854;13.7254901960784
"no";"italy";1857;13.3;30.4029138200752;12.1212121212121
"no";"united states";1969;58.25;22.2737315609943;0.545454545454546
"no";"india";1963;80.7;0;3.38680926916221
"no";"iran";1965;0;0;1.7825311942959
"no";"india";1943;33.6;0;29.7682709447415
"no";"united states";1912;86.3;0;37.2549019607843
"no";"norway";1917;32.6;27.3766240540175;11.0516934046346
"no";"united states";1907;0;6.58939553827474;3.38680926916221
"no";"united states";1868;100;30.2886641505177;57.7540106951872
"no";"united states";1897;0;0;1.7825311942959
"no";"united states";1955;65.55;13.1787910765495;81.6399286987522
"no";"australia";1920;96.6;20.1967922141704;10.873440285205
"no";"united states";1941;0;0;64.1711229946524
"no";"turkey";1976;89.6;20.4001312225326;64.1711229946524
"no";"germany";1909;96.6;8.31489140629709;50.8021390374332
"yes";"usa";1917;65.9;0;0.71301247771836
"no";"australia";1976;0;11.6714256579213;11.5864527629234
"no";"germany";1852;0;4.15744570314854;0.53475935828877
"no";"united states";1944;0;0;5.3475935828877
"no";"italy";1956;0;47.4822408228636;71.4795008912656
"no";"germany";1860;28.8;0;6.41711229946524
"no";"united states";1927;16.3;21.9737727442206;15.5080213903743
"no";"united states";1903;100;9.65328998110935;34.7593582887701
"no";"united states";1945;29;10.7468412414233;11.7647058823529
"no";"united states";1928;79.4;23.4640256653672;44.0285204991087
"yes";"japan";1926;14.1;24.2499235263273;8.9126559714795
"no";"italy";1936;39.9;8.31489140629709;91.6221033868093
"no";"united states";1975;70.1666666666667;13.8107356842579;37.7896613190731
"no";"united states";1908;79.4;0;22.8163992869875
"no";"netherlands";1951;0;0;34.9376114081996
"no";"russia";1955;0;0;0
"no";"austria";1923;28.2;17.6605279880525;5.88235294117647
"no";"united states";1904;0;0;77.3618538324421
"no";"india";1941;65.9;24.8502167344708;54.9019607843137
"no";"united states";1867;89.6;8.31489140629709;0.71301247771836
"no";"japan";1936;14.1;0;3.92156862745098
"no";"united states";1868;89.6;6.58939553827474;4.99108734402852
"no";"united states";1958;24.9;22.963908920284;48.8413547237077
"no";"bangladesh";1954;33;21.8179736912011;20.4991087344029
"no";"united states";1931;14.8;26.8547362276855;34.0463458110517
"no";"poland";1869;13.3;11.6714256579213;7.1301247771836
"no";"iran";1939;39.1;22.2737315609943;0.71301247771836
"no";"austria";1852;13.3;0;0
"no";"united states";1923;66.7;0;0
"no";"india";1956;0;30.4405184968521;23.3511586452763
"no";"united states";1925;66.7;24.0356890993492;26.7379679144385
"no";"russia";1887;0;10.7468412414233;11.0516934046346
"no";"switzerland";1914;21.7;8.31489140629709;13.5472370766488
"no";"india";1971;0;22.125627090555;54.9019607843137
"no";"italy";1922;13.3;16.6297828125942;35.2941176470588
"no";"germany";1966;31.9;16.6297828125942;13.5472370766488
"no";"united states";1949;56.7;29.8085738891437;40.6417112299465
"no";"united states";1956;0;15.3843772059459;37.6114081996435
"no";"germany";1941;0;17.6605279880525;10.5169340463458
"no";"germany";1913;19.3;0;47.0588235294118
"yes";"hungary";1920;0;0;40.3254972875226
"no";"sri lanka";1923;79.4;25.2194364397845;40.9982174688057
"no";"united states";1883;0;9.65328998110935;0.17825311942959
"no";"united states";1944;0;37.4887048696416;37.5444839857651
"no";"united kingdom";1891;0;33.0691392726179;47.2370766488414
"no";"germany";1906;0;20.9717946565146;50.0891265597148
"no";"south korea";1935;33.8;27.970963984949;25.1336898395722
"no";"united states";1865;0;0;39.7504456327986
"no";"united states";1949;49.8;4.15744570314854;10.1604278074866
"no";"united states";1903;0;0;13.903743315508
"yes";"usa";1891;0;18.260821196196;2.49554367201426
"no";"united states";1967;47.1;12.9628613946042;7.11743772241993
"no";"sweden";1894;27.4;26.6466948072449;17.4688057040998
"no";"india";1938;0;28.6142147718746;0.17825311942959
"no";"belarus";1901;65.9;30.2004842259159;7.82918149466192
"no";"united states";1937;93.15;19.0617326477204;85.0267379679144
"no";"italy";1956;47.1;28.9918962529866;85.5871886120996
"no";"croatia";1947;89.6;31.3758039443754;36.1853832442068
"no";"united states";1962;0;11.6714256579213;41.3547237076649
"no";"united states";1950;0;25.5672397374349;61.319073083779
"no";"united states";1876;0;18.5566665481487;2.31316725978648
"no";"sweden";1933;22.1;25.0735966014744;41.1032028469751
"no";"burma";1925;0;14.3823991182398;0.35650623885918
"no";"canada";1908;55.3;20.1967922141704;4.27807486631016
"no";"canada";1961;17.2;4.15744570314854;21.5686274509804
"no";"canada";1944;33.8;86.6589867394399;0.675579322638146
"no";"australia";1930;21;0;3.92156862745098
"yes";"united kingdom";1877;54.9;28.9116935694694;45.9893048128342
"no";"united states";1927;93.15;20.1967922141704;21.2121212121212
"no";"united states";1922;66.3;9.65328998110935;27.0944741532977
"no";"canada";1932;0;11.6714256579213;10.1604278074866
"no";"united states";1942;50.4;17.9775807148991;32.2064056939502
"yes";"united kingdom";1940;96.6;0;0.904159132007233
"no";"greece";1942;80.7;26.0538247761612;74.1532976827095
"no";"france";1932;0;18.5398448213884;53.475935828877
"no";"united states";1942;22.1;24.0356890993492;37.2549019607843
"yes";"germany";1943;34.5;0;24.5989304812834
"no";"india";1955;0;0;13.5472370766488
"no";"germany";1924;0;0;0.71301247771836
"no";"united kingdom";1944;13.3;14.3823991182398;0.71301247771836
"no";"india";1981;0;69.9507636666115;13.0124777183601
