Hamilton O. Smith;Johns Hopkins University School of Medicine
George F. Smoot;University of California
Harold Clayton Urey;Columbia University
James M. Buchanan Jr.;Center for Study of Public Choice
Walter Houser Brattain;Bell Telephone Laboratories
Leon M. Lederman;Fermi National Accelerator Laboratory
Daniel C. Tsui;Princeton University
Peter Grünberg;Forschungszentrum J&uuml lich
Aaron Ciechanover;Technion - Israel Institute of Technology
Ilya Prigogine;Université Libre de Bruxelles
Ilya Prigogine;University of Texas
Bengt I. Samuelsson;Karolinska Institutet
Paul Hermann Müller;Laboratorium der Farben-Fabriken J.R. Geigy A.G. (Laboratory of the J.R. Geigy Dye-Factory Co.)
Archibald Vivian Hill;London University
Johannes Andreas Grib Fibiger;Copenhagen University
Yves Chauvin;Institut Français du Pétrole
Joseph E. Murray;Brigham and Women's Hospital
Johann Friedrich Wilhelm Adolf von Baeyer;Munich University
Albert von Szent-Györgyi Nagyrápolt;Szeged University
Dennis Gabor;Imperial College
Ralph M. Steinman;Rockefeller University
Antonio Caetano de Abreu Freire Egas Moniz;University of Lisbon
Antonio Caetano de Abreu Freire Egas Moniz;Neurological Institute
Ralph Bunche;Harvard University
Robert E. Lucas Jr.;University of Chicago
Paul D. Boyer;University of California
Earl W. Sutherland, Jr.;Vanderbilt University
Robert F. Furchgott;SUNY Health Science Center
Peyton Rous;Rockefeller University
Jules Bordet;Brussels University
Roy J. Glauber;Harvard University
Otto Paul Hermann Diels;Kiel University
Richard Laurence Millington Synge;Rowett Research Institute
Erwin Neher;Max-Planck-Institut für Biophysikalische Chemie
Leon Neil Cooper;Brown University
Robert Koch;Institute for Infectious Diseases
John C. Harsanyi;University of California
Russell A. Hulse;Princeton University
Nikolay Nikolaevich Semenov;Institute for Chemical Physics of the Academy of Sciences of the USSR
Pyotr Leonidovich Kapitsa;Academy of Sciences
Joseph E. Stiglitz;Columbia University
James J. Heckman;University of Chicago
Nicholas Murray Butler;Columbia University
John Warcup Cornforth;University of Sussex
Barry J. Marshall;NHMRC Helicobacter pylori Research Laboratory, QEII Medical Centre
Barry J. Marshall;University of Western Australia
Paul A. Samuelson;Massachusetts Institute of Technology (MIT)
George Richards Minot;Harvard University
