Michael P. Taylor;1968;Hertfordshire;warwick;no
Michael P. Taylor;1968;Hertfordshire;portsmouth;no
Mortimer Wheeler;1890;Scotland;bradford grammar school;no
G. H. Hardy;1877;Surrey;cambridge;no
Hedley Marston;1900;Australia;adelaide;no
Peter Doherty;1940;Australia;edinburgh;no
John Cornforth;1917;Australia;st catherines college, oxford;no
Peter Doherty;1940;Australia;queensland;no
Otto Rank;1884;Austria;vienna;no
Paul Ehrenfest;1880;Austria;vienna;no
Paul Ehrenfest;1880;Austria;technische hochschule;no
George Chaldakov;1940;Bulgaria;medical varna;no
Duncan J. Watts;1971;Canada;new south wales;no
John Johnston Oneill;1886;Canada;mcgill;no
Rolf Singer;1906;Germany;vienna;no
Akhtar Hameed Khan;1914;India;magdalene college, cambridge;no
Raj Chandra Bose;1901;India;calcutta;no
Satyendra Nath Bose;1894;India;calcutta;no
Yadolah Dodge;1944;Iran;oregon;no
Adi Shamir;1952;Israel;bachelor science;no
Adi Shamir;1952;Israel;weizmann institute science;no
Peter Fulde;1936;Poland;hamburg;no
Albert A. Michelson;1852;Poland;humboldt berlin;no
Peter Fulde;1936;Poland;maryland, park;no
Alfred Tarski;1901;Poland;warsaw;no
Hugo Steinhaus;1887;Poland;lviv;no
Abraham Robinson;1918;Poland;hebrew jerusalem;no
Eugeny Pchelov;1971;Russia;russian for humanities;no
Ivo Lah;1896;Slovenia;zagreb;no
Keith Nugent;1959;United Kingdom;adelaide;no
J. B. S. Haldane;1892;United Kingdom;oxford;no
Michael P. Taylor;1968;United Kingdom;warwick;no
Mortimer Wheeler;1890;United Kingdom;bradford grammar school;no
Anthony Hallam;1933;United Kingdom;cambridge;no
Alan Lindsay Mackay;1926;United Kingdom;cambridge;no
Archibald Hill;1886;United Kingdom;cambridge;no
G. H. Hardy;1877;United Kingdom;cambridge;no
Sophie Wilson;1957;United Kingdom;cambridge;no
Michael P. Taylor;1968;United Kingdom;portsmouth;no
Alan Lindsay Mackay;1926;United Kingdom;birkbeck, london;no
Edward Thomas Hall;1924;United Kingdom;new college, oxford;no
Alan Lindsay Mackay;1926;United Kingdom;oundle school;no
Antony Jameson;1934;United Kingdom;trinity hall, cambridge;no
Lawrence Paul Horwitz;1930;United States;columbia;no
Elman Service;1915;United States;columbia;no
Howard Zinn;1922;United States;columbia;no
Robert A. Millikan;1868;United States;columbia;no
Robert Carhart Merton;1944;United States;columbia;no
George W. Snedecor;1881;United States;michigan;no
Elman Service;1915;United States;michigan;no
Lawrence Paul Horwitz;1930;United States;harvard;no
Julian Cecil Stanley;1918;United States;harvard;no
Solon Toothaker Kimball;1909;United States;harvard;no
Frederic M. Richards;1925;United States;harvard;no
Robert O. Mendelsohn;1952;United States;harvard;no
Robert Thomas Moore;1882;United States;harvard;no
Alexander Theodore Shulgin;1925;United States;harvard;no
Frank Drake;1930;United States;harvard;no
Norbert Wiener;1894;United States;harvard;no
Persi Diaconis;1945;United States;harvard;no
Ivan Edward Sutherland;1938;United States;carnegie institute technology;no
Emanuel Parzen;1929;United States;harvard;no
Howard Zinn;1922;United States;new york;no
Mark Hersam;1975;United States;cambridge;no
Mary Fanett Wheeler;1938;United States;bachelor arts;no
Mary Fanett Wheeler;1938;United States;master arts;no
Boyd Haley;1940;United States;franklin (indiana);no
Julian Cecil Stanley;1918;United States;georgia southern;no
Joe Bastardi;1955;United States;pennsylvania;no
Mary Fanett Wheeler;1938;United States;texas at austin;no
Boyd Haley;1940;United States;washington;no
Michael C. Jensen;1939;United States;macalester;no
Paul Flory;1910;United States;manchester (indiana);no
Jean Berko Gleason;1931;United States;radcliffe;no
Lee Willerman;1939;United States;wayne;no
Frank Watson Dyson;1868;Leicestershire;trinity college, cambridge;no
William Thomas Tutte;1917;Suffolk;trinity college, cambridge;no
Fiona Juliet Stanley;1946;Australia;london;no
Sir Grafton Elliot Smith;1871;Australia;sydney;no
John Job Crew Bradfield;1867;Australia;sydney;no
Fiona Juliet Stanley;1946;Australia;london school hygiene & tropical medicine;no
Karl H. Pribram;1919;Austria;chicago;no
Hsue-shen Qian;1911;China;california institute technology;no
Hsue-shen Qian;1911;China;massachusetts institute technology;no
Shing-Tung Yau;1949;China;california, berkeley;no
Kollagunta Gopalaiyer Ramanathan;1920;India;princeton;no
Gregorio Ricci-Curbastro;1853;Italy;scuola normale superiore di pisa;no
Juris Hartmanis;1928;Latvia;california institute technology;no
Martinus Beijerinck;1851;Netherlands;leiden;no
Jacobus Cornelius Kapteyn;1851;Netherlands;utrecht;no
Abraham (Bram) Pais;1918;Netherlands;utrecht;no
Walther Nernst;1864;Poland;graz;no
Oskar Klein;1894;Sweden;stockholm;no
Carl-Gustaf Rossby;1898;Sweden;stockholm;no
V. Walfrid Ekman;1874;Sweden;uppsala;no
Anthony Giddens;1938;United Kingdom;london school economics;no
Charles Algernon Parsons;1854;United Kingdom;st johns college, cambridge;no
Elihu Thomson;1853;United Kingdom;tufts;no
Peter Mansfield;1933;United Kingdom;london;no
William Thomas Tutte;1917;United Kingdom;trinity college, cambridge;no
Frank Watson Dyson;1868;United Kingdom;trinity college, cambridge;no
Elihu Thomson;1853;United Kingdom;yale;no
Charles R Drew;1904;United States;amherst;no
Grote Reber;1911;United States;illinois institute technology;no
Wes Jackson;1936;United States;north carolina;no
Lewis Roberts Binford;1931;United States;north carolina at chapel hill;no
David Bohm;1917;United States;california institute technology;no
Edwin McMillan;1907;United States;california institute technology;no
Gertrude Elion;1918;United States;hunter;no
Steven Brams;1940;United States;massachusetts institute technology;no
Charles Greeley Abbot;1872;United States;massachusetts institute technology;no
Alan Harvey Guth;1947;United States;massachusetts institute technology;no
Charles Stark Draper;1901;United States;massachusetts institute technology;no
Solomon Kullback;1907;United States;mathematics;no
