Duncan J. Watts;1971;Canada;University of New South Wales;scientist;no
John Johnston Oneill;1886;Canada;McGill University;scientist;no
Rolf Singer;1906;Germany;University of Vienna;scientist;no
Akhtar Hameed Khan;1914;India;Magdalene College, Cambridge;scientist;no
Raj Chandra Bose;1901;India;University of Calcutta;scientist;no
Satyendra Nath Bose;1894;India;University of Calcutta;scientist;no
Yadolah Dodge;1944;Iran;Oregon State University;scientist;no
Adi Shamir;1952;Israel;Bachelor of Science;scientist;no
Adi Shamir;1952;Israel;Weizmann Institute of Science;scientist;no
Peter Fulde;1936;Poland;University of Hamburg;scientist;no
Albert A. Michelson;1852;Poland;Humboldt University of Berlin;scientist;no
Peter Fulde;1936;Poland;University of Maryland, College Park;scientist;no
Alfred Tarski;1901;Poland;University of Warsaw;scientist;no
Hugo Steinhaus;1887;Poland;Lviv University;scientist;no
Abraham Robinson;1918;Poland;Hebrew University of Jerusalem;scientist;no
Eugeny Pchelov;1971;Russia;Russian State University for the Humanities;scientist;no
Ivo Lah;1896;Slovenia;University of Zagreb;scientist;no
Keith Nugent;1959;United Kingdom;University of Adelaide;scientist;no
J. B. S. Haldane;1892;United Kingdom;University of Oxford;scientist;no
Michael P. Taylor;1968;United Kingdom;University of Warwick;scientist;no
Mortimer Wheeler;1890;United Kingdom;Bradford Grammar School;scientist;no
Anthony Hallam;1933;United Kingdom;University of Cambridge;scientist;no
Alan Lindsay Mackay;1926;United Kingdom;University of Cambridge;scientist;no
Archibald Hill;1886;United Kingdom;University of Cambridge;scientist;no
G. H. Hardy;1877;United Kingdom;University of Cambridge;scientist;no
Sophie Wilson;1957;United Kingdom;University of Cambridge;scientist;no
Michael P. Taylor;1968;United Kingdom;University of Portsmouth;scientist;no
Alan Lindsay Mackay;1926;United Kingdom;Birkbeck, University of London;scientist;no
Edward Thomas Hall;1924;United Kingdom;New College, Oxford;scientist;no
Alan Lindsay Mackay;1926;United Kingdom;Oundle School;scientist;no
Antony Jameson;1934;United Kingdom;Trinity Hall, Cambridge;scientist;no
Lawrence Paul Horwitz;1930;United States;Columbia University;scientist;no
Elman Service;1915;United States;Columbia University;scientist;no
Howard Zinn;1922;United States;Columbia University;scientist;no
Robert A. Millikan;1868;United States;Columbia University;scientist;no
Robert Carhart Merton;1944;United States;Columbia University;scientist;no
George W. Snedecor;1881;United States;University of Michigan;scientist;no
Elman Service;1915;United States;University of Michigan;scientist;no
Lawrence Paul Horwitz;1930;United States;Harvard University;scientist;no
Julian Cecil Stanley;1918;United States;Harvard University;scientist;no
Solon Toothaker Kimball;1909;United States;Harvard University;scientist;no
Frederic M. Richards;1925;United States;Harvard University;scientist;no
Robert O. Mendelsohn;1952;United States;Harvard University;scientist;no
Robert Thomas Moore;1882;United States;Harvard University;scientist;no
Alexander Theodore Shulgin;1925;United States;Harvard University;scientist;no
Frank Drake;1930;United States;Harvard University;scientist;no
Norbert Wiener;1894;United States;Harvard University;scientist;no
Persi Diaconis;1945;United States;Harvard University;scientist;no
Ivan Edward Sutherland;1938;United States;Carnegie Institute of Technology;scientist;no
Emanuel Parzen;1929;United States;Harvard College;scientist;no
Howard Zinn;1922;United States;New York University;scientist;no
Mark Hersam;1975;United States;University of Cambridge;scientist;no
Mary Fanett Wheeler;1938;United States;Bachelor of Arts;scientist;no
Mary Fanett Wheeler;1938;United States;Master of Arts;scientist;no
Boyd Haley;1940;United States;Franklin College (Indiana);scientist;no
Julian Cecil Stanley;1918;United States;Georgia Southern University;scientist;no
Joe Bastardi;1955;United States;Pennsylvania State University;scientist;no
Mary Fanett Wheeler;1938;United States;University of Texas at Austin;scientist;no
Boyd Haley;1940;United States;Washington State University;scientist;no
Michael C. Jensen;1939;United States;Macalester College;scientist;no
Paul Flory;1910;United States;Manchester University (Indiana);scientist;no
Jean Berko Gleason;1931;United States;Radcliffe College;scientist;no
Lee Willerman;1939;United States;Wayne State University;scientist;no
Frank Watson Dyson;1868;Leicestershire;Trinity College, Cambridge;scientist;no
William Thomas Tutte;1917;Suffolk;Trinity College, Cambridge;scientist;no
Fiona Juliet Stanley;1946;Australia;University of London;scientist;no
Sir Grafton Elliot Smith;1871;Australia;University of Sydney;scientist;no
John Job Crew Bradfield;1867;Australia;University of Sydney;scientist;no
Fiona Juliet Stanley;1946;Australia;London School of Hygiene & Tropical Medicine;scientist;no
Karl H. Pribram;1919;Austria;University of Chicago;scientist;no
Hsue-shen Qian;1911;China;California Institute of Technology;scientist;no
Hsue-shen Qian;1911;China;Massachusetts Institute of Technology;scientist;no
Shing-Tung Yau;1949;China;University of California, Berkeley;scientist;no
Kollagunta Gopalaiyer Ramanathan;1920;India;Princeton University;scientist;no
Gregorio Ricci-Curbastro;1853;Italy;Scuola Normale Superiore di Pisa;scientist;no
