James Hopwood Jeans;1877;Lancashire;University of Cambridge;no
James Hopwood Jeans;1877;Lancashire;Merchant Taylors' School, Northwood;no
John Stewart Bell;1928;Northern Ireland;Queen's University Belfast;no
John Boyd Orr;1880;Scotland;University of Glasgow;no
John Robert Vane;1927;Worcestershire;St Catherine's College, Oxford;no
John Job Crew Bradfield;1867;Australia;Bachelor of Engineering;no
Karl Menger;1902;Austria;University of Vienna;no
Sir Peter Medawar;1915;Brazil;University of Oxford;no
William Morton Kahan;1933;Canada;University of Toronto;no
Hsue-shen Qian;1911;China;Shanghai Jiao Tong University;no
Shing-Tung Yau;1949;China;Chinese University of Hong Kong;no
Johann Radon;1887;Czech Republic;University of Vienna;no
Georgios Papanikolaou;1883;Greece;National and Kapodistrian University of Athens;no
Georgios Papanikolaou;1883;Greece;Ludwig Maximilian University of Munich;no
George Andrew Olah;1927;Hungary;Budapest University of Technology and Economics;no
Peter David Lax;1926;Hungary;Courant Institute of Mathematical Sciences;no
Peter David Lax;1926;Hungary;Stuyvesant High School;no
Humayun Abdulali;1914;Japan;St. Xavier's College, Mumbai;no
Walther Nernst;1864;Poland;University of Zurich;no
Walther Nernst;1864;Poland;Humboldt University of Berlin;no
Joseph Rotblat;1908;Poland;University of Liverpool;no
Joseph Rotblat;1908;Poland;University of Warsaw;no
Oskar Klein;1894;Sweden;Norwegian Nobel Institute;no
Carl-Gustaf Rossby;1898;Sweden;Leipzig University;no
Jean Piccard;1884;Switzerland;ETH Zurich;no
Martin Gutzwiller;1925;Switzerland;ETH Zurich;no
Eugen Bleuler;1857;Switzerland;University of Zurich;no
Bernard Lovell;1913;United Kingdom;University of Bristol;no
John Boyd Orr;1880;United Kingdom;University of Glasgow;no
Alexander R. Todd;1907;United Kingdom;University of Glasgow;no
Alexander R. Todd;1907;United Kingdom;University of Oxford;no
Edmund Brisco Ford;1901;United Kingdom;University of Oxford;no
Elihu Thomson;1853;United Kingdom;Harvard University;no
Anthony Giddens;1938;United Kingdom;University of Hull;no
Lewis Fry Richardson;1881;United Kingdom;Durham University;no
Lewis Fry Richardson;1881;United Kingdom;King's College, Cambridge;no
Anthony Giddens;1938;United Kingdom;University of Cambridge;no
James Hopwood Jeans;1877;United Kingdom;University of Cambridge;no
Lewis Fry Richardson;1881;United Kingdom;Bootham School;no
Alexander R. Todd;1907;United Kingdom;Goethe University Frankfurt;no
James Hopwood Jeans;1877;United Kingdom;Merchant Taylors' School, Northwood;no
John Stewart Bell;1928;United Kingdom;Queen's University Belfast;no
Peter Mansfield;1933;United Kingdom;Queen Mary University of London;no
John Robert Vane;1927;United Kingdom;St Catherine's College, Oxford;no
Charles Algernon Parsons;1854;United Kingdom;Trinity College, Dublin;no
Frank Press;1924;United States;Columbia University;no
Lewis Roberts Binford;1931;United States;University of Michigan;no
Isadore Singer;1924;United States;University of Michigan;no
Marshall Sahlins;1930;United States;University of Michigan;no
Dudley R. Herschback;1932;United States;Harvard University;no
Susan Lindquist;1949;United States;Harvard University;no
Richard Manning Karp;1935;United States;Harvard University;no
Joseph Hooton Taylor;1941;United States;Harvard University;no
Paul Lauterbur;1929;United States;Case Western Reserve University;no
Robert S. Shankland;1908;United States;Case Western Reserve University;no
Solomon Kullback;1907;United States;George Washington University;no
Abraham Sinkov;1907;United States;George Washington University;no
Charles R Drew;1904;United States;McGill University;no
Charles Bachman;1924;United States;Michigan State University;no
Steven Brams;1940;United States;Northwestern University;no
David Bohm;1917;United States;Pennsylvania State University;no
Wes Jackson;1936;United States;Kansas Wesleyan University;no
W. E. B. Du Bois;1868;United States;Fisk University;no
Joseph Hooton Taylor;1941;United States;Haverford College;no
Rashid Alievich Sunyaev;1943;Uzbekistan;Moscow Institute of Physics and Technology;no
John Robert Vane;1927;England;University of Birmingham;no
John Stewart Bell;1928;Northern Ireland;University of Birmingham;no
William Ramsey;1852;Scotland;University of Strathclyde;no
John Robert Vane;1927;Worcestershire;University of Birmingham;no
Fiona Juliet Stanley;1946;Australia;University of Western Australia;no
Carlo Rovelli;1956;Italy;University of Padua;no
Carlo Rovelli;1956;Italy;University of Bologna;no
Carlo Rovelli;1956;Italy;University of Trento;no
Torahiko Terada;1878;Japan;University of Tokyo;no
Joseph Rotblat;1908;Poland;Free Polish University;no
Gheorghe Marinescu;1863;Romania;University of Bucharest;no
Martin Gutzwiller;1925;Switzerland;University of Kansas;no
John Robert Vane;1927;United Kingdom;University of Birmingham;no
William Ramsey;1852;United Kingdom;University of Strathclyde;no
John Stewart Bell;1928;United Kingdom;University of Birmingham;no
Russell Alan Hulse;1950;United States;University of Massachusetts Amherst;no
Wes Jackson;1936;United States;University of Kansas;no
Norman Borlaug;1914;United States;University of Minnesota;no
Paul Lauterbur;1929;United States;University of Pittsburgh;no
Arthur Holmes;1890;England national football team;Royal College of Science;no
James Lovelock;1919;Hertfordshire;London School of Hygiene & Tropical Medicine;no
Freeman John Dyson;1923;Berkshire;Cornell University;no
Henry Moseley;1887;Dorset;Trinity College, Oxford;no
James Lovelock;1919;England;London School of Hygiene & Tropical Medicine;no
Martin Evans;1941;Gloucestershire;University College London;no
Martin Evans;1941;Gloucestershire;Christ's College, Cambridge;no
Francis Crick;1916;Northamptonshire;University College London;no
Francis Crick;1916;Northamptonshire;Northampton School for Boys;no
Alexander Fleming;1881;Scotland;Imperial College London;no
Alexander Fleming;1881;Scotland;University of Westminster;no
Murray Batchelor;1961;Australia;Australian National University;no
Christian Koeberl;1959;Austria;University of Graz;no
Megh Nad Saha;1893;Bangladesh;Dhaka College;no
Brian Wilson Kernighan;1942;Canada;Princeton University;no
Gilbert Plass;1920;Canada;Princeton University;no
Arthur Philemon Coleman;1852;Canada;Victoria University, Toronto;no
Luis Davidson San Juan;1921;Cuba;University of Havana;no
Jacques Forest;1920;France;University of Lille Nord de France;no
Andreas Mandelis;1952;Greece;Yale University;no
Sultan Bashiruddin Mahmood;1938;India;University of Manchester;no
Tathagat Avatar Tulsi;1987;India;Indian Institute of Science;no
David Deutsch;1953;Israel;Clare College, Cambridge;no
Amico Bignami;1862;Italy;Sapienza University of Rome;no
Maarten Schmidt;1929;Netherlands;Leiden Observatory;no
Cornelis Bernardus van Niel;1897;Netherlands;Delft University of Technology;no
Benoît Mandelbrot;1924;Poland;University of Paris;no
Benoît Mandelbrot;1924;Poland;California Institute of Technology;no
Andrei Linde;1948;Russia;Moscow State University;no
Alex Rasnitsyn;1936;Russia;Moscow State University;no
Andrei Dmitrievich Sakharov;1921;Russia;Moscow State University;no
Kharrasov Mukhamet Hadisovich;1948;Russia;Moscow State University;no
Arthur Holmes;1890;United Kingdom;Royal College of Science;no
Andrew Wiles;1953;United Kingdom;Clare College, Cambridge;no
Alexander Fleming;1881;United Kingdom;Imperial College London;no
Martin Evans;1941;United Kingdom;University College London;no
Francis Crick;1916;United Kingdom;University College London;no
Martin Evans;1941;United Kingdom;Christ's College, Cambridge;no
Alan Mathison Turing;1912;United Kingdom;Princeton University;no
Freeman John Dyson;1923;United Kingdom;Cornell University;no
James Lovelock;1919;United Kingdom;London School of Hygiene & Tropical Medicine;no
Henry Moseley;1887;United Kingdom;Trinity College, Oxford;no
Francis Crick;1916;United Kingdom;Northampton School for Boys;no
Alexander Fleming;1881;United Kingdom;University of Westminster;no
Mary Lura Sherrill;1888;United States;Randolph College;no
Leonard Carmichael;1898;United States;Tufts University;no
Donald Ervin Knuth;1938;United States;California Institute of Technology;no
Edwin Grant Conklin;1863;United States;Johns Hopkins University;no
Thomas Milton Rivers;1888;United States;Johns Hopkins University;no
Benjamin Whorf;1897;United States;Massachusetts Institute of Technology;no
Claude E. Shannon;1916;United States;Massachusetts Institute of Technology;no
Dan Bricklin;1951;United States;Massachusetts Institute of Technology;no
Doc Edgerton;1903;United States;Massachusetts Institute of Technology;no
Charles F. Hockett;1916;United States;Ohio State University;no
Catharine Cox;1890;United States;Stanford University;no
Douglas Richard Hofstadter;1945;United States;Stanford University;no
Bill Joy;1954;United States;University of California, Berkeley;no
Douglas Carl Engelbart;1925;United States;University of California, Berkeley;no
Craig Venter;1946;United States;University of California, San Diego;no
Robert M. Solovay;1938;United States;University of Chicago;no
Patrick O. Brown;1954;United States;University of Chicago;no
Mary Lura Sherrill;1888;United States;University of Chicago;no
Edwin Powell Hubble;1889;United States;University of Chicago;no
Herbert Alexander Simon;1916;United States;University of Chicago;no
Paul J. Cohen;1934;United States;University of Chicago;no
Vincent Duvigneaud;1901;United States;University of Rochester;no
Alan Curtis Kay;1940;United States;University of Utah;no
Sidney Dillon II Ripley;1913;United States;Yale University;no
Charles A Dinarello;1943;United States;Yale University;no
Charles F. Hockett;1916;United States;Yale University;no
Milton Harris;1906;United States;Yale University;no
James A. Krumhansl;1919;United States;Cornell University;no
Jack Balkin;1956;United States;Doctor of Philosophy;no
George Dantzig;1914;United States;Doctor of Philosophy;no
Herbet Spencer Gasser;1888;United States;Johns Hopkins School of Medicine;no
George Whipple;1878;United States;Johns Hopkins School of Medicine;no
George Dantzig;1914;United States;Master's degree;no
Sidney Dillon II Ripley;1913;United States;Columbia University;no
Arthur Jensen;1923;United States;Columbia University;no
James Lovelock;1919;Hertfordshire;Victoria University of Manchester;no
Freeman John Dyson;1923;Berkshire;University of Cambridge;no
Arthur Eddington;1882;Cumbria;University of Cambridge;no
Arthur Eddington;1882;Cumbria;Victoria University of Manchester;no
Henry Moseley;1887;Dorset;University of Oxford;no
Henry Moseley;1887;Dorset;Victoria University of Manchester;no
James Lovelock;1919;England;Victoria University of Manchester;no
Francis Crick;1916;Northamptonshire;Gonville and Caius College, Cambridge;no
Francis Crick;1916;Northamptonshire;Churchill College, Cambridge;no
Alexander Fleming;1881;Scotland;St Mary's Hospital Medical School;no
John Anthony Pople;1925;Somerset;University of Cambridge;no
Abbas Aroua;1962;Algeria;University of Surrey;no
Abbas Aroua;1962;Algeria;University of Algiers;no
Murray Batchelor;1961;Australia;University of New South Wales;no
John Carew Eccles;1903;Australia;Magdalen College, Oxford;no
Wilhelm Blaschke;1885;Austria;University of Vienna;no
Kiril Bratanov;1911;Bulgaria;Sofia University;no
Brian Wilson Kernighan;1942;Canada;University of Toronto;no
Gilbert Plass;1920;Canada;Harvard University;no
Bjarne Stroustrup;1950;Denmark;Aarhus University;no
Bjarne Stroustrup;1950;Denmark;Churchill College, Cambridge;no
Kurt Diebner;1905;Germany;Martin Luther University of Halle-Wittenberg;no
