Roger Y. Tsien;University of Cambridge
Lev Davidovich Landau;Baku State University
Lev Davidovich Landau;Ioffe Institute
Lev Davidovich Landau;Saint Petersburg State University
Oliver E. Williamson;Carnegie Mellon University
Oliver E. Williamson;Massachusetts Institute of Technology
Oliver E. Williamson;Stanford University
Oliver E. Williamson;Doctor of Philosophy
Oliver E. Williamson;Bachelor of Science
Oliver E. Williamson;Master of Business Administration
Martti Ahtisaari;University of Oulu
Henry Taube;University of California, Berkeley
Henry Taube;University of Saskatchewan
Niels Henrik David Bohr;University of Copenhagen
Lester Bowles Pearson;University of Oxford
Lester Bowles Pearson;University of Toronto
George Wells Beadle;Cornell University
Giulio Natta;Polytechnic University of Milan
Richard R. Schrock;Harvard University
Richard R. Schrock;University of Cambridge
Richard R. Schrock;University of California, Riverside
Gerhard Ertl;University of Stuttgart
Ragnar Frisch;University of Oslo
Sir Chandrasekhara Venkata Raman;University of Madras
Thomas Hunt Morgan;Johns Hopkins University
Thomas Hunt Morgan;University of Kentucky
Brian P. Schmidt;University of Arizona
Brian P. Schmidt;Harvard University
Ahmed H. Zewail;University of Pennsylvania
Ahmed H. Zewail;Alexandria University
Ferid Murad;Case Western Reserve University School of Medicine
Ferid Murad;DePauw University
Charles Thomson Rees Wilson;University of Manchester
Charles Thomson Rees Wilson;University of Cambridge
William Vickrey;Yale University
William Vickrey;Columbia University
Carlo Rubbia;Scuola Normale Superiore di Pisa
Carlo Rubbia;Columbia University
Yoichiro Nambu;University of Tokyo
Thomas A. Steitz;Harvard University
Thomas A. Steitz;Lawrence University
Thomas A. Steitz;Wauwatosa East High School
Thomas Huckle Weller;University of Michigan
Thomas Huckle Weller;Harvard Medical School
Carl Ferdinand Cori;Charles University in Prague
Christopher A. Pissarides;London School of Economics
Christopher A. Pissarides;University of Essex
Arieh Warshel;Weizmann Institute of Science
Irving Langmuir;Columbia University
Robert W. Fogel;Johns Hopkins University
Robert W. Fogel;Cornell University
Robert W. Fogel;Columbia University
Robert W. Fogel;Stuyvesant High School
James Tobin;Harvard University
Ben Roy Mottelson;Purdue University
Ben Roy Mottelson;Harvard University
Pierre Curie;Sorbonne
Hermann Emil Fischer;University of Bonn
Hermann Emil Fischer;University of Strasbourg
Walther Bothe;Humboldt University of Berlin
Max Ferdinand Perutz;Peterhouse, Cambridge
Max Ferdinand Perutz;University of Vienna
Milton Friedman;Rutgers University
Eric Betzig;California Institute of Technology
Eric Betzig;Cornell University
Richard Axel;Johns Hopkins School of Medicine
Richard Axel;Columbia University
Richard Axel;Stuyvesant High School
Herbert Kroemer;University of Jena
George Paget Thomson;Trinity College, Cambridge
Gustav Ludwig Hertz;Humboldt University of Berlin
Kenneth G. Wilson;California Institute of Technology
Kenneth G. Wilson;Harvard University
Alice Munro;University of Western Ontario
Koichi Tanaka;Tohoku University
E. Donnall Thomas;University of Texas at Austin
E. Donnall Thomas;Harvard Medical School
Roald Hoffmann;Columbia University
Roald Hoffmann;Harvard University
Roald Hoffmann;Stuyvesant High School
Victor Grignard;University of Lyon
J. Hans D. Jensen;University of Hamburg
Daniel Kahneman;University of California, Berkeley
Daniel Kahneman;Hebrew University of Jerusalem
Kailash Satyarthi;Samrat Ashok Technological Institute
Werner Forssmann;Humboldt University of Berlin
Yuan T. Lee;University of California, Berkeley
Yuan T. Lee;National Taiwan University
Yuan T. Lee;National Tsing Hua University
Otto Fritz Meyerhof;University of Strasbourg
Otto Fritz Meyerhof;Heidelberg University
Owen Chamberlain;Dartmouth College
Owen Chamberlain;University of California, Berkeley
Owen Chamberlain;University of Chicago
Douglass C. North;University of California, Berkeley
Eric F. Wieschaus;Yale University
Eric F. Wieschaus;University of Notre Dame
Louis J. Ignarro;Columbia University
Louis J. Ignarro;University of Minnesota
Melvin Calvin;Michigan Technological University
Melvin Calvin;University of Minnesota
Saul Bellow;University of Chicago
Saul Bellow;Northwestern University
Kurt Alder;University of Kiel
Kurt Alder;Humboldt University of Berlin
Shuji Nakamura;University of Tokushima
Karl Landsteiner;University of Vienna
Barbara McClintock;Cornell University
Bruce A. Beutler;University of California, San Diego
Bruce A. Beutler;University of Chicago
James Franck;Humboldt University of Berlin
James Franck;Heidelberg University
John Cowdery Kendrew;University of Cambridge
Andre Geim;Moscow Institute of Physics and Technology
Joseph Erlanger;Johns Hopkins School of Medicine
Eduard Buchner;Ludwig Maximilian University of Munich
Frederick Chapman Robbins;University of Missouri
Frederick Chapman Robbins;Harvard University
