Andrew J. Majda;1949;united states;stanford;scientist;no
Nolan Bushnell;1943;united states;stanford;scientist;no
Robert Endre Tarjan;1948;united states;stanford;scientist;no
Ronald Linn Rivest;1947;united states;stanford;scientist;no
Emanuel Parzen;1929;united states;californiaberkeley;scientist;no
Alexander Theodore Shulgin;1925;united states;californiaberkeley;scientist;no
Lynn Margulis;1938;united states;californiaberkeley;scientist;no
Sanford Alexander Moss;1872;united states;californiasanfrancisco;scientist;no
Alexander Theodore Shulgin;1925;united states;californiasanfrancisco;scientist;no
Scott Shenker;1956;united states;chicago;scientist;no
Michael C. Jensen;1939;united states;chicago;scientist;no
Lynn Margulis;1938;united states;chicago;scientist;no
Robert Thomas Moore;1882;united states;pennsylvania;scientist;no
William Shainline Middleton;1890;united states;pennsylvania;scientist;no
Nolan Bushnell;1943;united states;utah;scientist;no
Robert R. Phelps;1926;united states;washington;scientist;no
David Schizer;1968;united states;yale;scientist;no
Robert O. Mendelsohn;1952;united states;yale;scientist;no
Ronald Linn Rivest;1947;united states;yale;scientist;no
Sanford Alexander Moss;1872;united states;cornell;scientist;no
Frank Drake;1930;united states;cornell;scientist;no
Persi Diaconis;1945;united states;citynewyork;scientist;no
George Lakoff;1941;united states;indiana;scientist;no
Michael P. Taylor;1968;hertfordshire;warwick;scientist;no
Michael P. Taylor;1968;hertfordshire;portsmouth;scientist;no
Mortimer Wheeler;1890;scotland;bradfordgrammarschool;scientist;no
G. H. Hardy;1877;surrey;cambridge;scientist;no
Hedley Marston;1900;australia;adelaide;scientist;no
Peter Doherty;1940;australia;edinburgh;scientist;no
John Cornforth;1917;australia;stcatherinesoxford;scientist;no
Peter Doherty;1940;australia;queensland;scientist;no
Otto Rank;1884;austria;vienna;scientist;no
Paul Ehrenfest;1880;austria;vienna;scientist;no
Paul Ehrenfest;1880;austria;technischehochschule;scientist;no
George Chaldakov;1940;bulgaria;medicalvarna;scientist;no
Duncan J. Watts;1971;canada;newsouthwales;scientist;no
John Johnston Oneill;1886;canada;mcgill;scientist;no
Rolf Singer;1906;germany;vienna;scientist;no
Akhtar Hameed Khan;1914;india;magdalenecambridge;scientist;no
Raj Chandra Bose;1901;india;calcutta;scientist;no
Satyendra Nath Bose;1894;india;calcutta;scientist;no
Yadolah Dodge;1944;iran;oregon;scientist;no
Adi Shamir;1952;israel;bachelorscience;scientist;no
Adi Shamir;1952;israel;weizmanninstitutescience;scientist;no
Peter Fulde;1936;poland;hamburg;scientist;no
Albert A. Michelson;1852;poland;humboldtberlin;scientist;no
Peter Fulde;1936;poland;marylandpark;scientist;no
Alfred Tarski;1901;poland;warsaw;scientist;no
Hugo Steinhaus;1887;poland;lviv;scientist;no
Abraham Robinson;1918;poland;hebrewjerusalem;scientist;no
Eugeny Pchelov;1971;russia;russianforhumanities;scientist;no
Ivo Lah;1896;slovenia;zagreb;scientist;no
Keith Nugent;1959;united kingdom;adelaide;scientist;no
J. B. S. Haldane;1892;united kingdom;oxford;scientist;no
Michael P. Taylor;1968;united kingdom;warwick;scientist;no
Mortimer Wheeler;1890;united kingdom;bradfordgrammarschool;scientist;no
Anthony Hallam;1933;united kingdom;cambridge;scientist;no
Alan Lindsay Mackay;1926;united kingdom;cambridge;scientist;no
Archibald Hill;1886;united kingdom;cambridge;scientist;no
G. H. Hardy;1877;united kingdom;cambridge;scientist;no
Sophie Wilson;1957;united kingdom;cambridge;scientist;no
Michael P. Taylor;1968;united kingdom;portsmouth;scientist;no
Alan Lindsay Mackay;1926;united kingdom;birkbecklondon;scientist;no
Edward Thomas Hall;1924;united kingdom;newoxford;scientist;no
Alan Lindsay Mackay;1926;united kingdom;oundleschool;scientist;no
Antony Jameson;1934;united kingdom;trinityhallcambridge;scientist;no
Lawrence Paul Horwitz;1930;united states;columbia;scientist;no
Elman Service;1915;united states;columbia;scientist;no
Howard Zinn;1922;united states;columbia;scientist;no
Robert A. Millikan;1868;united states;columbia;scientist;no
Robert Carhart Merton;1944;united states;columbia;scientist;no
George W. Snedecor;1881;united states;michigan;scientist;no
Elman Service;1915;united states;michigan;scientist;no
Lawrence Paul Horwitz;1930;united states;harvard;scientist;no
Julian Cecil Stanley;1918;united states;harvard;scientist;no
Solon Toothaker Kimball;1909;united states;harvard;scientist;no
Frederic M. Richards;1925;united states;harvard;scientist;no
Robert O. Mendelsohn;1952;united states;harvard;scientist;no
Robert Thomas Moore;1882;united states;harvard;scientist;no
Alexander Theodore Shulgin;1925;united states;harvard;scientist;no
Frank Drake;1930;united states;harvard;scientist;no
Norbert Wiener;1894;united states;harvard;scientist;no
Persi Diaconis;1945;united states;harvard;scientist;no
Ivan Edward Sutherland;1938;united states;carnegieinstitutetechnology;scientist;no
Emanuel Parzen;1929;united states;harvard;scientist;no
Howard Zinn;1922;united states;newyork;scientist;no
Mark Hersam;1975;united states;cambridge;scientist;no
Mary Fanett Wheeler;1938;united states;bachelorarts;scientist;no
Mary Fanett Wheeler;1938;united states;masterarts;scientist;no
Boyd Haley;1940;united states;franklin;scientist;no
Julian Cecil Stanley;1918;united states;georgiasouthern;scientist;no
Joe Bastardi;1955;united states;pennsylvania;scientist;no
Mary Fanett Wheeler;1938;united states;texasataustin;scientist;no
Boyd Haley;1940;united states;washington;scientist;no
Michael C. Jensen;1939;united states;macalester;scientist;no
Paul Flory;1910;united states;manchester;scientist;no
Jean Berko Gleason;1931;united states;radcliffe;scientist;no
Lee Willerman;1939;united states;wayne;scientist;no
Frank Watson Dyson;1868;leicestershire;trinitycambridge;scientist;no
William Thomas Tutte;1917;suffolk;trinitycambridge;scientist;no
Fiona Juliet Stanley;1946;australia;london;scientist;no
Sir Grafton Elliot Smith;1871;australia;sydney;scientist;no
John Job Crew Bradfield;1867;australia;sydney;scientist;no
Fiona Juliet Stanley;1946;australia;londonschoolhygiene&tropicalmedicine;scientist;no
Karl H. Pribram;1919;austria;chicago;scientist;no
Hsue-shen Qian;1911;china;californiainstitutetechnology;scientist;no
Hsue-shen Qian;1911;china;massachusettsinstitutetechnology;scientist;no
Shing-Tung Yau;1949;china;californiaberkeley;scientist;no
Kollagunta Gopalaiyer Ramanathan;1920;india;princeton;scientist;no
Gregorio Ricci-Curbastro;1853;italy;scuolanormalesuperioredipisa;scientist;no
Juris Hartmanis;1928;latvia;californiainstitutetechnology;scientist;no
Martinus Beijerinck;1851;netherlands;leiden;scientist;no
Jacobus Cornelius Kapteyn;1851;netherlands;utrecht;scientist;no
Abraham (Bram) Pais;1918;netherlands;utrecht;scientist;no
Walther Nernst;1864;poland;graz;scientist;no
Oskar Klein;1894;sweden;stockholm;scientist;no
Carl-Gustaf Rossby;1898;sweden;stockholm;scientist;no
V. Walfrid Ekman;1874;sweden;uppsala;scientist;no
Anthony Giddens;1938;united kingdom;londonschooleconomics;scientist;no
Charles Algernon Parsons;1854;united kingdom;stjohnscambridge;scientist;no
Elihu Thomson;1853;united kingdom;tufts;scientist;no
Peter Mansfield;1933;united kingdom;london;scientist;no
William Thomas Tutte;1917;united kingdom;trinitycambridge;scientist;no
Frank Watson Dyson;1868;united kingdom;trinitycambridge;scientist;no
Elihu Thomson;1853;united kingdom;yale;scientist;no
Charles R Drew;1904;united states;amherst;scientist;no
Grote Reber;1911;united states;illinoisinstitutetechnology;scientist;no
Wes Jackson;1936;united states;northcarolina;scientist;no
Lewis Roberts Binford;1931;united states;northcarolinaatchapelhill;scientist;no
David Bohm;1917;united states;californiainstitutetechnology;scientist;no
Edwin McMillan;1907;united states;californiainstitutetechnology;scientist;no
Gertrude Elion;1918;united states;hunter;scientist;no
Steven Brams;1940;united states;massachusettsinstitutetechnology;scientist;no
Charles Greeley Abbot;1872;united states;massachusettsinstitutetechnology;scientist;no
Alan Harvey Guth;1947;united states;massachusettsinstitutetechnology;scientist;no
Charles Stark Draper;1901;united states;massachusettsinstitutetechnology;scientist;no
Solomon Kullback;1907;united states;mathematics;scientist;no
Dana Stewart Scott;1932;united states;princeton;scientist;no
Edwin McMillan;1907;united states;princeton;scientist;no
Richard E. Stearns;1936;united states;princeton;scientist;no
Walter Alvarez;1940;united states;princeton;scientist;no
Harry Hess;1906;united states;princeton;scientist;no
Dudley R. Herschback;1932;united states;stanford;scientist;no
Charles Stark Draper;1901;united states;stanford;scientist;no
Stanley Miller;1930;united states;californiaberkeley;scientist;no
Dana Stewart Scott;1932;united states;californiaberkeley;scientist;no
David Bohm;1917;united states;californiaberkeley;scientist;no
Herbert York;1921;united states;californiaberkeley;scientist;no
Donald Johanson;1943;united states;chicago;scientist;no
Isadore Singer;1924;united states;chicago;scientist;no
Saunders Mac Lane;1909;united states;chicago;scientist;no
Robert S. Shankland;1908;united states;chicago;scientist;no
Michael Behe;1952;united states;pennsylvania;scientist;no
Charles Bachman;1924;united states;pennsylvania;scientist;no
Herbert York;1921;united states;rochester;scientist;no
Martha Chase;1927;united states;southerncalifornia;scientist;no
Edwin Catmull;1945;united states;utah;scientist;no
Saunders Mac Lane;1909;united states;yale;scientist;no
Gerard Kitchen O'Neill;1927;united states;cornell;scientist;no
Frank Press;1924;united states;citynewyork;scientist;no
Solomon Kullback;1907;united states;citynewyork;scientist;no
Abraham Sinkov;1907;united states;citynewyork;scientist;no
Charles R Drew;1904;united states;columbia;scientist;no
Marshall Sahlins;1930;united states;columbia;scientist;no
Rashid Alievich Sunyaev;1943;uzbekistan;moscow;scientist;no
Edmund Brisco Ford;1901;cumbria;oxford;scientist;no
Bernard Lovell;1913;england;bristol;scientist;no
James Hopwood Jeans;1877;england;cambridge;scientist;no
James Hopwood Jeans;1877;england;merchanttaylorsschoolnorthwood;scientist;no
John Robert Vane;1927;england;stcatherinesoxford;scientist;no
James Hopwood Jeans;1877;lancashire;cambridge;scientist;no
James Hopwood Jeans;1877;lancashire;merchanttaylorsschoolnorthwood;scientist;no
John Stewart Bell;1928;northern ireland;queensbelfast;scientist;no
John Boyd Orr;1880;scotland;glasgow;scientist;no
John Robert Vane;1927;worcestershire;stcatherinesoxford;scientist;no
John Job Crew Bradfield;1867;australia;bachelorengineering;scientist;no
